aletia_id,name,final_specialty
ALT-006429,"Aplio i900/i800/i700 Diagnostic Ultrasound System, Software V7.0 (TUS-AI900, TUS-AI800, TUS-AI700)",Radiology
ALT-006576,aprevo® Digital Segmentation,Radiology
ALT-006882,aPROMISE,Radiology
ALT-006865,Aquilion Exceed LB,Radiology
ALT-006939,Aquilion Exceed LB (TSX-202A/3) V10.6 with AiCE-I,Radiology
ALT-006932,Aquilion Lightning (TSX-036A/7) V10.2 with AiCE-i,Radiology
ALT-007070,Aquilion ONE (TSX-305A/6) V8.9 with AiCE,Radiology
ALT-007018,Aquilion ONE (TSX-306A/3) V10.0 with Spectral Imaging System,Radiology
ALT-006773,"Aquilion ONE (TSX-306A/3) V10.12 with Spectral Imaging System, Vitrea Software Package, VSTP-001A",Radiology
ALT-006511,Aquilion ONE (TSX-308A/3) V1.4 with PIQE Reconstruction System,Radiology
ALT-006385,Aquilion ONE (TSX-308A/3) V1.5,Radiology
ALT-007065,Aquilion Precision (TSX-304A/1 and /2) V8.8 with AiCE,Radiology
ALT-006735,Aquilion Precision (TSX-304A/4) V10.10 with AiCE,Radiology
ALT-007015,Aquilion Prime SP (TSX-303B8) V10.2 with AiCE-i,Radiology
ALT-006688,Aquilion Serve (TSX-307A/1) V1.2 with AiCE-i,Radiology
ALT-006603,Aquilion Serve (TSX-307A/1) V1.3,Radiology
ALT-006561,Aquilion Serve SP (TSX-307B/1) V1.3,Radiology
ALT-006546,ART-Plan,Radiology
ALT-006661,ART-Plan,Radiology
ALT-004569,ARTAssistant,Radiology
ALT-007165,Arterys Cardio DL,Cardiology
ALT-006809,Arterys MICA,Radiology
ALT-006301,AudaxCeph Cephalogram Analysis Software,Radiology
ALT-003697,Auto 3D Bladder Volume Tool,Urology
ALT-007023,Auto Positioning,Radiology
ALT-006949,AutoContour,Radiology
ALT-006396,AutoContour (Model RADAC V4),Radiology
ALT-004586,AutoDensity,Radiology
ALT-006904,Automatic Anatomy Recognition (AAR),Radiology
ALT-006645,Autoplaque,Radiology
ALT-006959,AVA (Augmented Vascular Analysis),Cardiology
ALT-004503,AVIEW,Radiology
ALT-006709,AVIEW,Radiology
ALT-006967,AVIEW,Radiology
ALT-006512,AVIEW CAC,Radiology
ALT-006995,AVIEW LCS,Radiology
ALT-006719,AVIEW RT ACS,Radiology
ALT-006634,Axial3D Insight,Radiology
ALT-001127,Basic diagnostic x-ray system application software,Radiology
ALT-001128,Basic diagnostic x-ray system application software,Radiology
ALT-001129,Basic diagnostic x-ray system application software,Radiology
ALT-006348,Better Diagnostics Caries Assist (BDCA) Version 1.0,Radiology
ALT-006198,BioticsAI,Radiology
ALT-004621,BioTraceIO Vision  (V1.7),Radiology
ALT-001057,Bladder AI (AIBV01),Urology
ALT-006236,BlineSlide,Radiology
ALT-007081,Bone VCAR (BVCAR),Radiology
ALT-006559,Bonelogic,Orthopaedics
ALT-006368,BoneMetrics (US),Orthopaedics
ALT-006836,BoneMRI,Radiology
ALT-006717,BoneMRI v1.4,Radiology
ALT-003894,BoneView,Radiology
ALT-004479,brAIn Shoulder Positioning,Radiology
ALT-006230,brAIn Shoulder Positioning,Radiology
ALT-006242,Brain WMH,Neurology
ALT-006756,BrainInsight,Neurology
ALT-006936,BrainInsight,Neurology
ALT-006296,Brainlab Elements (7.0); Brainlab Elements Image Fusion (5.0); Brainlab Elements Image Fusion Angio (1.0); Brainlab Elements Contouring (5.0); Brainlab Elements Fibertracking (3.0); Brainlab Elements BOLD MRI Mapping (1.0),Neurology
ALT-006628,"Brainlab Elements Image Fusion, Contouring (4.5);Image Fusion  (4.5);Fibertracking (2.0);BOLD MRI Mapping  (1.0);Image Fusion Angio  (1.0)",Neurology
ALT-006383,Brainomix 360 e-CTA,Radiology
ALT-006597,Brainomix 360 Triage LVO,Radiology
ALT-006571,BraveCX,Radiology
ALT-006879,breastscape v1.0,Radiology
ALT-003935,BriefCase,Radiology
ALT-003950,BriefCase,Radiology
ALT-006704,BriefCase,Radiology
ALT-006714,BriefCase,Radiology
ALT-006716,BriefCase,Radiology
ALT-006726,BriefCase,Radiology
ALT-006730,BriefCase,Radiology
ALT-006740,BriefCase,Radiology
ALT-006778,BriefCase,Radiology
ALT-006783,BriefCase,Radiology
ALT-006795,BriefCase,Radiology
ALT-006937,BriefCase,Radiology
ALT-006966,BriefCase,Radiology
ALT-006987,BriefCase,Radiology
ALT-007027,BriefCase,Radiology
ALT-007071,BriefCase,Radiology
ALT-007080,BriefCase,Radiology
ALT-007116,BriefCase,Radiology
ALT-004187,BriefCase-Quantification,Radiology
ALT-004414,BriefCase-Quantification,Radiology
ALT-006484,BriefCase-Quantification,Radiology
ALT-006570,BriefCase-Quantification,Radiology
ALT-006573,BriefCase-Quantification,Radiology
ALT-006221,BriefCase-Triage,Radiology
ALT-006304,BriefCase-Triage,Radiology
ALT-006362,BriefCase-Triage,Radiology
ALT-006394,BriefCase-Triage,Radiology
ALT-006413,BriefCase-Triage,Radiology
ALT-006460,BriefCase-Triage,Radiology
ALT-006577,BriefCase-Triage,Radiology
ALT-006906,"BriefCase, RIB Fractures Triage (RibFx)",Radiology
ALT-006088,BrightHeart View Classifier,Obstetrics & Gynaecology
ALT-007011,Broncholab,Radiology
ALT-006288,Bunkerhill Abdominal Aortic Quantification (AAQ),Cardiology
ALT-006372,Bunkerhill AVC,Radiology
ALT-006237,Bunkerhill MAC,Radiology
ALT-006670,Butterfly iQ/iQ+ Ultrasound System,Radiology
ALT-006544,Butterfly iQ3 Ultrasound System,Radiology
ALT-004321,CAC (gated) Algorithm,Radiology
